Year,Cars,Male,AgeGroup,City,TotalWeightedTrips,TotalWeightedKilometers,WeightedPersons,WeightedAverageTrips,WeightedAvgPartySizeCar,ShareTrips_Walk,ShareTrips_Bike,ShareTrips_Car,ShareTrips_PT,ShareKM_Walk,ShareKM_Bike,ShareKM_Car,ShareKM_PT
2007,2,0,31-55,1,312199.7663,4013986.831,72573.00357,4.301871922,0.71446573,0.121197427,0.087302018,0.77125033,0.020250225,0.010579804,0.016436132,0.906510636,0.066473428
2007,2,0,56-65,0,85414.39779,1409920.586,23398.67727,3.650394285,0.487699861,0.204381197,0.060624058,0.712325249,0.022669495,0.015251724,0.015384104,0.918982198,0.050381974
2007,2,0,56-65,1,56061.18507,1026831.388,15362.55242,3.649210334,0.57475749,0.119403881,0.076254305,0.78532291,0.019018904,0.004648284,0.010882232,0.953563473,0.030906011
2007,2,0,66+,0,18729.35218,520813.7602,6166.056292,3.037492895,0.52548516,0.075575721,0.029098227,0.870608407,0.024717645,0.004293885,0.002203769,0.777952376,0.215549971
2007,2,0,66+,1,15319.94522,168107.5455,4926.765783,3.109533899,0.578294344,0.134738181,0.105905194,0.695242366,0.064114259,0.014303542,0.057121019,0.87348862,0.055086819
2007,2,1,0-17,0,121882.7484,1344834.838,39053.60948,3.120908669,2.042894262,0.132148583,0.298876342,0.429820931,0.139154144,0.019237504,0.084885451,0.735857872,0.160019173
2007,2,1,0-17,1,76539.96444,506936.6355,20737.09878,3.690967827,1.855058583,0.261326707,0.330984427,0.237276493,0.170412374,0.027417737,0.129891678,0.582825571,0.259865014
2007,2,1,18-30,0,147305.113,2794301.248,37212.48503,3.958486321,0.483979819,0.046252846,0.030094459,0.907529552,0.016123143,0.002111428,0.005113902,0.969257912,0.023516758
2007,2,1,18-30,1,114777.4163,1569737.844,25863.62629,4.437792869,0.744709765,0.115932698,0.054315917,0.770313819,0.059437566,0.008202781,0.016605341,0.847456874,0.127735004
2007,2,1,31-55,0,540946.1914,12708422.14,152477.8143,3.547704262,0.560869407,0.050627776,0.022806149,0.920968771,0.005597304,0.002359024,0.003120907,0.973369486,0.021150583
2007,2,1,31-55,1,344015.6142,6874087.739,82623.94033,4.16363118,0.519260889,0.094984466,0.024144531,0.867048488,0.013822515,0.005903341,0.0046356,0.94964878,0.039812279
2007,2,1,56-65,0,145529.8755,3212498.534,39637.59976,3.671510796,0.318085119,0.086498815,0.0259018,0.885271822,0.002327563,0.002470797,0.010317973,0.981939166,0.005272064
2007,2,1,56-65,1,82209.67051,1633438.078,21556.45317,3.813691885,0.284036366,0.079121666,0.074676651,0.843743821,0.002457862,0.006071747,0.008753679,0.981092398,0.004082175
2007,2,1,66+,0,32462.8931,490901.6719,9419.42216,3.446378402,0.639093904,0.020529776,0.032849145,0.941945771,0.004675308,0.000983773,0.004075387,0.970206919,0.02473392
2007,2,1,66+,1,33969.17683,599818.9088,9232.520181,3.679296244,0.506533509,0.118717898,0.109670285,0.768541712,0.003070104,0.009093494,0.020326372,0.969189196,0.001390939
2008,0,0,0-17,0,35140.12441,343113.5371,11579.09387,3.034790528,2.299450753,0.217378571,0.294762855,0.296455662,0.191402911,0.019066338,0.07034356,0.678462896,0.232127206
2008,0,0,0-17,1,78258.5784,378589.9082,23006.71741,3.401553425,1.778474458,0.310951567,0.429627592,0.105124276,0.154296565,0.056362296,0.163068364,0.453731227,0.326838113
2008,0,0,18-30,0,29584.32077,417824.1611,8957.433942,3.302767396,0.980414675,0.199637323,0.141915504,0.413002112,0.24544506,0.018377034,0.034660988,0.412149219,0.534812759
2008,0,0,18-30,1,363538.9377,3854548.284,107368.7898,3.385890243,1.031849211,0.274406507,0.372044563,0.179613612,0.173935318,0.023470213,0.101167062,0.362883171,0.512479554
2008,0,0,31-55,0,35188.06546,342415.1404,10954.08429,3.212323779,1.041388498,0.395030993,0.22770276,0.21493364,0.162332607,0.034189906,0.056561477,0.51313719,0.396111426
2008,0,0,31-55,1,254160.8178,1742042.167,72841.74688,3.489219145,1.271453552,0.251504094,0.398832966,0.127815535,0.221847405,0.041838097,0.158915657,0.366992598,0.432253648
2008,0,0,56-65,0,29430.82331,360602.3725,8520.146555,3.454262568,1.269116237,0.296921313,0.327127066,0.197215081,0.178736541,0.033521943,0.055005965,0.537261514,0.374210577
